HotelId	HotelName	Description	description_fr	Category	Tags	ParkingIncluded	SmokingAllowed	LastRenovationDate	BaseRate	Rating
11	Regal Orb Resort & Spa	"Your home away from home. Brand new fully equipped premium rooms, fast WiFi, full kitchen, washer & dryer, fitness center"	"Votre maison loin de chez vous. Flambant neuf chambres Premium entièrement équipées, WiFi rapide, cuisine complète, laveuse & sécheuse, centre de fitness"	Boutique	"coffee in lobby, free parking, concierge"	0	0	6/1/2001	249.99	3.6
12	Winter Panorama Resort	"Newly-renovated with large rooms, free 24-hr airport shuttle & a new restaurant. Rooms/suites offer mini-fridges & 49-inch HDTVs."	"Récemment rénové, avec de grandes chambres, une navette gratuite de 24 heures par aéroport et un nouveau restaurant. Les chambres/suites offrent des mini-frigos et des TVHD de 49 pouces."	Resort and Spa	"free wifi, coffee in lobby, coffee in lobby"	0	1	2/26/1978	149.99	4.5
13	Historic Lion Resort	"Unmatched Luxury.  Visit our downtown hotel to indulge in luxury accommodations. Moments from the stadium, we feature the best in comfort"	"Un luxe inégalé.  Visitez notre hôtel du centre-ville pour vous adonner à des hébergements luxueux. Moments du stade, nous vous présentons le meilleur dans le confort"	Extended-Stay	"bar, laundry service, coffee in lobby"	0	1	10/6/2004	119.99	3.2
14	Twin Vertex Hotel	New experience in the Making.  Be the first to experience the luxury of the Twin Vertex. Reserve one of our newly-renovated guest rooms today.	Nouvelle expérience dans la fabrication.  Soyez les premiers à découvrir le luxe du Twin vertex. Réservez une de nos chambres récemment rénovées aujourd'hui.	Boutique	"continental breakfast, continental breakfast, pool"	1	0	4/20/1999	249.99	4.3
15	Peaceful Market Hotel & Spa	"Book now and Save up to 30%.  Central location. Steps from Empire State Building & Times Square, in Chelsea neighborhood. Brand new rooms. Impeccable service."	"Réservez dès maintenant et économisez jusqu'à 30%.  Emplacement central. A quelques pas de l'Empire State Building & Times Square, dans le quartier de Chelsea. Chambres flambant neuves. Service impeccable."	Suite	"free wifi, 24-hour front desk service, coffee in lobby"	1	0	7/15/1959	249.99	3.6
16	Double Sanctuary Resort	"5* Luxury Hotel - Biggest Rooms in the city.  #1 Hotel in the area listed by Conde Nast Traveler. Free WiFi, Flexible check in/out, Fitness Center & Nespresso in room."	"5 * hôtel de luxe-plus grandes chambres de la ville.  #1 hôtel dans les environs énumérés par Conde Nast Traveler. WiFi gratuit, Check-in/out flexible, centre de fitness et Nespresso dans la chambre."	Luxury	"concierge, 24-hour front desk service, restaurant"	1	0	1/2/2004	79.99	4.8
17	Antiquity Hotel	"Elevate Your Experience.  Upgrade to a premiere city skyline view for less, with dramatic views of the city, local cathedral and midtown."	"Élevez votre expérience.  Passez à une vue d'horizon de première ville pour moins, avec des vues spectaculaires de la ville, la cathédrale locale et Midtown."	Boutique	"view, air conditioning, laundry service"	0	0	5/17/1979	199.99	4.5
18	Oceanside Resort	"New Luxury Hotel.  Be the first to stay. Bay views from every room, location near the piper, rooftop pool, waterfront dining & more."	"Nouvel hôtel de luxe.  Soyez le premier à rester. Vue sur la baie de chaque chambre, emplacement près de la Piper, piscine sur le toit, manger en bord de mer et plus."	Boutique	"free wifi, pool, free parking"	0	1	4/8/2008	249.99	3.2
19	Universe Motel	"Book Now & Save.  Clean, Comfortable rooms at the lowest price. Enjoy complimentary coffee and tea in common areas."	Réservez maintenant et économisez.  Chambres propres et confortables au plus bas prix. Profitez du café et du thé gratuits dans les parties communes.	Boutique	"free wifi, concierge, concierge"	1	1	3/10/1974	119.99	3.3
20	Travel Resort	"The Best Gaming Resort in the area.  With elegant rooms & suites, pool, cabanas, spa, brewery & world-class gaming.  This is the best place to play, stay & dine."	"La meilleure station de jeux dans la région.  Avec des chambres et suites élégantes, piscine, Cabanas, Spa, brasserie & Gaming de classe mondiale.  C'est le meilleur endroit pour jouer, rester et dîner."	Boutique	"24-hour front desk service, view, air conditioning"	0	0	6/6/2018	79.99	3.3
21	Nova Hotel & Spa	"1 Mile from the airport.  Free WiFi, Outdoor Pool, Complimentary Airport Shuttle, 6 miles from the beach & 10 miles from downtown."	"1 mile de l'aéroport.  WiFi gratuit, piscine extérieure, navette aéroport gratuite, à 6 km de la plage et à 10 km du centre-ville."	Resort and Spa	"restaurant, concierge, restaurant"	0	0	8/5/1963	149.99	3.3
22	Stone Lion Inn	"Full breakfast buffet for 2 for only $1.  Excited to show off our room upgrades, faster high speed WiFi, updated corridors & meeting space. Come relax and enjoy your stay."	"Petit déjeuner buffet complet pour 2 pour seulement $1.  Excité de montrer nos mises à niveau de la chambre, plus rapide WiFi à haute vitesse, les couloirs et l'espace de réunion. Venez vous détendre et profiter de votre séjour."	Budget	"pool, free parking, bar"	0	1	3/27/1953	119.99	2.7
23	Days Hotel	"Mix and mingle in the heart of the city.  Shop and dine, mix and mingle in the heart of downtown, where fab lake views unite with a cheeky design."	"Mélangez et mêlez-vous au cœur de la ville.  Magasinez et dînez, mélangez et mêlez-vous au cœur du centre-ville, où les vues du lac FAB s'unissent avec un design effronté."	Luxury	"24-hour front desk service, pool, continental breakfast"	1	0	9/10/2014	119.99	2.6
24	Gacc Capital	"Chic hotel near the city.  High-rise hotel in downtown, walking distance to theaters, restaurants and shops, complete with wellness programs."	"Hôtel chic près de la ville.  Hôtel de grande hauteur dans le centre-ville, à distance de marche des théâtres, des restaurants et des magasins, avec des programmes de bien-être."	Luxury	"air conditioning, restaurant, view"	1	0	1/11/2008	199.99	4.7
25	Scottish Inn	"Newly Redesigned Rooms & airport shuttle.  Minutes from the airport, enjoy lakeside amenities, a resort-style pool & stylish new guestrooms with Internet TVs."	"Chambres nouvellement redessinées & navette d'aéroport.  Minutes de l'aéroport, profitez des équipements Lakeside, une piscine de style complexe et de nouvelles chambres élégantes avec des téléViseurs Internet."	Luxury	"coffee in lobby, 24-hour front desk service, 24-hour front desk service"	0	1	3/8/1978	79.99	2.8
26	Marquis Plaza & Suites	"Extend Your Stay.  Spend a day with the ocean life at the aquarium, then come home to amenities like free Wi-Fi, full kitchen, and free breakfast buffet"	"Prolonger votre séjour.  Passez une journée avec la vie de l'océan à l'aquarium, puis venez à la maison à des équipements tels que Wi-Fi gratuit, cuisine complète, et petit déjeuner buffet gratuit"	Luxury	"concierge, pool, free wifi"	0	0	7/19/1996	149.99	2.2
27	Super Deluxe Inn & Suites	"Complimentary Airport Shuttle & WiFi.  Book Now and save - Spacious All Suite Hotel, Indoor/Outdoor Pool, Fitness Center, Florida Green certified, Starbucks Coffee, HDTV"	"Navette aéroport gratuite et WiFi.  Réservez maintenant et économisez-spacieux All Suite Hotel, piscine couverte/extérieure, centre de fitness, Florida Green Certified, Starbucks Coffee, HDTV"	Budget	"free wifi, continental breakfast, free parking"	0	1	7/24/2010	79.99	4.4
28	Summer Wind Resort	"Steps from the Convention Center.  Located in the heart of downtown with modern rooms with stunning city views, 24-7 dining options, free WiFi and easy valet parking"	"Pas du Centre des Congrès.  Situé au cœur du centre-ville avec des chambres modernes avec vue imprenable sur la ville, 24-7 restaurants, WiFi gratuit et parking avec voiturier facile"	Suite	"restaurant, air conditioning, continental breakfast"	0	1	1/7/1991	119.99	3.0
29	Thompson House	"Stay in the heart of downtown.  Experience the warmth of our hotel. Enjoy free WiFi, local transportation and Milk & Cookies."	"Restez au coeur du centre-ville.  Vivez la chaleur de notre hôtel. Profitez du WiFi gratuit, du transport local et du lait et des biscuits."	Suite	"coffee in lobby, free parking, view"	0	0	2/22/1985	79.99	3.5
30	Catfish Creek Fishing Cabins	"Brand new mattresses and pillows.  Free airport shuttle. Great hotel for your business needs. Comp WIFI, atrium lounge & restaurant, 1 mile from light rail."	"Matelas et oreillers flambant neufs.  Navette gratuite pour l'aéroport. Grand hôtel pour vos besoins d'affaires. COMP WIFI, Atrium Lounge & Restaurant, 1 mile de Light Rail."	Resort and Spa	"coffee in lobby, bar, concierge"	1	1	7/8/1993	119.99	3.2
31	Santa Fe Stay	"Nestled on six beautifully landscaped acres, located 2 blocks from the Plaza. Unwind at the spa and indulge in art tours on site."	"Niché sur six hectares magnifiquement aménagés, situé à 2 pâtés de la Plaza. DéTendez-vous au spa et profitez de visites d'art sur place."	Luxury	"continental breakfast, pool, continental breakfast"	1	1	9/30/2003	79.99	3.3
32	Goldmoor Inn	"AAA Four Diamond Resort.  Nestled on six beautifully landscaped acres, located 2 blocks from the park. Unwind at the spa and indulge in art tours on site."	"AAA Four Diamond Resort.  Niché sur six hectares magnifiquement aménagés, situé à 2 pâtés de là du parc. DéTendez-vous au spa et profitez de visites d'art sur place."	Luxury	"coffee in lobby, bar, pool"	0	1	3/22/1984	249.99	2.9
33	Mottelers Thunderbird Motel	"Book Now & Save.  Clean, Comfortable rooms at the lowest price. Enjoy complimentary coffee and tea in common areas."	Réservez maintenant et économisez.  Chambres propres et confortables au plus bas prix. Profitez du café et du thé gratuits dans les parties communes.	Luxury	"air conditioning, bar, free parking"	0	0	10/18/1962	79.99	3.5
34	Cap'n Jack's Waterfront Inn	"Every stay starts with a warm cookie.  Amenities like the Counting Sheep sleep experience, our Wake-up glorious breakfast buffet and spacious workout facilities await."	"Chaque séjour commence par un biscuit chaud.  Commodités comme le comptage des moutons expérience de sommeil, notre réveil-up glorieux petit déjeuner buffet et des installations d'entraînement spacieuses vous attendent."	Luxury	"laundry service, view, restaurant"	1	1	9/18/1989	149.99	3.6
35	Suites At Key Largo	Spring Break at the mall.  Located across the street from the Light Rail to downtown.  Free shuttle to the mall and airport.	Relâche au centre commercial.  Situé de l'autre côté de la rue du rail léger au centre-ville.  Navette gratuite pour le centre commercial et l'aéroport.	Suite	"24-hour front desk service, view, free parking"	0	0	11/4/2017	119.99	4.4
36	Pelham Hotel	"Stunning Downtown Hotel with indoor Pool.  Ideally located close to theatres, museums and the convention center. Indoor Pool and Sauna and fitness centre.  Popular Bar & Restaurant"	"Superbe hôtel du centre-ville avec piscine couverte.  Idéalement situé à proximité des théâtres, des musées et du Centre des Congrès. Piscine couverte et sauna et centre de fitness.  Populaire bar & restaurant"	Suite	"air conditioning, coffee in lobby, bar"	0	0	12/30/1989	79.99	2.6
37	Commander Hotel	"Right in the heart of campus.  From meetings in town or gameday, enjoy our prime location between the union and steps away from the stadium."	"En plein cœur du campus.  Des réunions en ville ou Gameday, profitez de notre emplacement privilégié entre l'Union et à quelques pas du stade."	Suite	"laundry service, view, coffee in lobby"	0	1	6/3/2011	79.99	4.3
38	Lady Of The Lake B & B	Nature is Home on the beach.  Save up to 30 percent. Valid Now through the end of the year. Restrictions and blackout may apply.	La nature est à la maison sur la plage.  Economisez jusqu'à 30%. Valable maintenant jusqu'à la fin de l'année. Les restrictions et le Blackout peuvent s'appliquer.	Boutique	"free parking, free wifi, bar"	0	0	5/5/1983	79.99	3.7
39	Whitefish Lodge & Suites	"Located on in the heart of the forest. Enjoy Warm Weather, Beach Club Services, Natural Hot Springs, Airport Shuttle."	"Situé au coeur de la forêt. Appréciez le temps chaud, les services de club de plage, les sources chaudes normales, la navette d'aéroport."	Suite	"view, bar, free wifi"	0	0	6/3/2007	119.99	3.8
40	Trails End Motel	"Only 8 miles from Downtown.  On-site bar/restaurant, Free hot breakfast buffet, Free wireless internet, All non-smoking hotel. Only 15 miles from airport."	"A seulement 8 km du centre-ville.  Bar/restaurant sur place, buffet de petit déjeuner chaud gratuit, Internet sans fil gratuit, tout hôtel non-fumeurs. A seulement 15 km de l'aéroport."	Budget	"free wifi, laundry service, free parking"	0	0	5/21/1958	149.99	3.0
41	Ocean Air Motel	"Oceanfront hotel overlooking the beach features rooms with a private balcony and 2 indoor and outdoor pools. Various shops and art entertainment are on the boardwalk, just steps away."	"L'hôtel front de mer surplombant la plage dispose de chambres avec balcon privé et 2 piscines intérieures et extérieures. Divers commerces et animations artistiques sont sur la promenade, à quelques pas."	Suite	"laundry service, 24-hour front desk service, view"	1	0	6/8/2005	249.99	2.2
42	Bar C Resort & Campground	"Bar C is nestled on 20 unspoiled acres on a private cove of Rock Bottom Lake. We feature both lodging and campground accommodations to suit just about every taste. Even though we are out of the traffic of the city, getting there is only a short drive away."	"Bar C est niché sur 20 hectares intacts sur une crique privée de Rock Bottom Lake. Nous disposons à la fois d'hébergement et de logements de camping pour convenir à peu près tous les goûts. Même si nous sommes hors du trafic de la ville, y arriver est à seulement une courte distance en voiture."	Resort and Spa	"free parking, continental breakfast, laundry service"	1	1	3/26/2006	119.99	3.6
43	Johnson's Resort	"Family oriented resort located in the heart of the northland. Operated since 1962 by the Smith family, we have grown into one of the largest family resorts in the state. The home of excellent Smallmouth Bass fishing with 10 small cabins, we're a home not only to fishermen but their families as well. Rebuilt in the early 2000's, all of our cabins have been built with all the comforts of home. Sporting a huge beach with multiple water toys for those sunny summer days and a Lodge full of games for when you just can't swim anymore, there's always something for the family to do. A full marina offers watercraft rentals, boat launch, powered dock slips, canoes (free to use), & fish cleaning facility. Rent pontoons, 14' fishing boats, 16' fishing rigs or jet ski's for a fun day or week on the water."	"Resort familial situé au cœur de la Northland. Opéré depuis 1962 par la famille Smith, nous sommes devenus l'une des plus grandes stations familiales de l'État. La maison de la pêche à l'achigan à petite bouche excellente avec 10 petites cabanes, nous sommes une maison non seulement pour les pêcheurs, mais aussi leurs familles. Reconstruites au début des années 2000, toutes nos cabines ont été construites avec tout le confort de la maison. Arborant une immense plage avec des jouets d'eau multiples pour ces jours ensoleillés d'été et un Lodge plein de jeux pour quand vous ne pouvez pas nager plus, il ya toujours quelque chose pour la famille à faire. UNE marina complète offre la location de motomarines, le lancement de bateaux, des bordereaux d'amarrage, des canoës (libres d'utilisation), et des installations de nettoyage de poissons. Louez des pontons, 14 'bateaux de pêche, 16 'plates-formes de pêche ou jet ski pour une journée ou une semaine de plaisir sur l'eau."	Boutique	"pool, 24-hour front desk service, pool"	0	1	8/22/1957	119.99	2.1
44	Veteran Right Track	Free Shuttle to the airport and casinos.  Free breakfast and WiFi.	Navette gratuite pour l'aéroport et les casinos.  Petit déjeuner gratuit et WiFi.	Boutique	"continental breakfast, laundry service, coffee in lobby"	1	0	2/23/1992	249.99	3.0
45	Arcadia Resort & Restaurant	"The largest year-round resort in the area offering more of everything for your vacation – at the best value!  What can you enjoy while at the resort, aside from the mile-long sandy beaches of the lake? Check out our activities sure to excite both young and young-at-heart guests. We have it all, including being named “Property of the Year” and a “Top Ten Resort” by top publications."	"La plus grande station de toute l'année dans la région offrant plus de tout pour vos vacances-au meilleur rapport qualité-prix!  Que pouvez-vous profiter de la station, en dehors des kilomètres de longues plages de sable du lac? Découvrez nos activités pour vous exciter à la fois les jeunes et les jeunes-à-coeur invités. Nous avons tout, y compris d'être nommé ""propriété de l'année"" et un ""Top Ten Resort"" par Top publications."	Boutique	"24-hour front desk service, restaurant, coffee in lobby"	0	0	4/1/1960	199.99	3.9
46	Swan Point Inn	"We serve a continental-style breakfast each morning, featuring a variety of food and drinks. Our locally made, oh-so-soft, caramel cinnamon rolls are a favorite with our guests. Other breakfast items include coffee, orange juice, milk, cereal, instant oatmeal, bagels, and muffins."	"Nous servons un petit déjeuner continental de style chaque matin, avec une variété de nourriture et de boissons. Notre fait localement, oh-so-Soft, caramel rouleaux de cannelle sont un favori avec nos clients. Autres petits-déjeuners: café, jus d'orange, lait, céréales, Gruau instantané, bagels et muffins."	Suite	"concierge, view, free parking"	0	1	7/31/1964	119.99	4.5
47	South Court Inn B & B	"Situated conveniently at the north end of the village, the inn is just a short walk from the lake, offering reasonable rates and clean comfortable rooms with views."	"Idéalement situé à l'extrémité nord du village, l'auberge se trouve à quelques minutes à pied du lac, offrant des tarifs raisonnables et des chambres confortables avec vue sur la ville."	Extended-Stay	"view, bar, coffee in lobby"	1	0	2/24/1957	149.99	2.6
48	Nordick's Motel	Only 90 miles (about 2 hours) from the nation's capital and nearby most everything the historic valley has to offer.  Hiking? Wine Tasting? Exploring the caverns?  It's all nearby and we have specially priced packages to help make our B&B your home base for fun while visiting the valley. 	Seulement 90 milles (environ 2 heures) de la capitale de la nation et à proximité la plupart tout que la vallée historique a à offrir.  Randonnée? Dégustation? Vous explorez les cavernes?  C'est tout près et nous avons des forfaits à prix spécial pour aider à rendre notre B&B votre base pour le plaisir en visitant la vallée.	Extended-Stay	"laundry service, concierge, restaurant"	1	0	1/4/1967	119.99	3.9
49	Old Carrabelle Hotel	"Spacious rooms, glamorous suites and residences, rooftop pool, walking access to shopping, dining, entertainment and the city center."	"Chambres spacieuses, suites et résidences glamour, piscine sur le toit, accès à pied aux commerces, restaurants, divertissements et centre-ville."	Boutique	"pool, coffee in lobby, concierge"	1	1	6/15/1966	119.99	4.9
50	Pull'r Inn Motel	"The hotel rooms and suites offer the perfect blend of beauty and elegance. Our rooms will elevate your stay, whether you're traveling for business, celebrating a honeymoon, or just looking for a remarkable getaway. With views of the valley or the iconic fountains right from your suite, your stay will be nothing short of unforgettable."	"Les chambres et suites de l'hôtel offrent un mélange parfait de beauté et d'élégance. Nos chambres élèveront votre séjour, que vous voyagiez pour affaires, pour célébrer une lune de miel, ou tout simplement à la recherche d'une escapade remarquable. Avec une vue sur la vallée ou les fontaines emblématiques de votre suite, votre séjour sera tout à fait inoubliable."	Budget	"pool, view, free wifi"	1	1	6/19/1959	149.99	4.8
